name,window,observed,gen_mean,gen_median,gen_q05,gen_q95
Bootstrap,IS,-0.134861,-0.000289,+0.000437,-0.033576,+0.030106
Bootstrap,OoS,-0.214073,+0.002948,+0.004235,-0.068498,+0.068159
GARCH(1,1) Gaussian,IS,-0.134861,-0.001569,-0.004062,-0.065981,+0.063792
GARCH(1,1) Gaussian,OoS,-0.214073,-0.001610,-0.003171,-0.111509,+0.106514
EGARCH(1,1),IS,-0.134861,-0.094867,-0.092898,-0.146611,-0.046877
EGARCH(1,1),OoS,-0.214073,-0.091406,-0.086960,-0.199320,-0.002265
GJR-GARCH(1,1),IS,-0.134861,-0.080567,-0.079035,-0.152528,-0.016964
GJR-GARCH(1,1),OoS,-0.214073,-0.074213,-0.073433,-0.173900,+0.022640
CHMM-N (K=18),IS,-0.134861,-0.087806,-0.088509,-0.138218,-0.036829
CHMM-N (K=18),OoS,-0.214073,-0.085495,-0.086671,-0.190307,+0.015420
CHMM-t (K=18),IS,-0.134861,-0.068305,-0.067069,-0.115518,-0.020377
CHMM-t (K=18),OoS,-0.214073,-0.068390,-0.067308,-0.165667,+0.018651
CHMM-L (K=18),IS,-0.134861,-0.064654,-0.064308,-0.107652,-0.022113
CHMM-L (K=18),OoS,-0.214073,-0.063604,-0.064296,-0.152386,+0.026192
CHMM-GED (K=18),IS,-0.134861,-0.071362,-0.072116,-0.113016,-0.028823
CHMM-GED (K=18),OoS,-0.214073,-0.074393,-0.076024,-0.163065,+0.024916
